source,participant,subj_values,Model,Meaning,Task,Condition,Stem
novel_meaning_2afc_data_cond1_familiar_stem_subj_means,364622,0.16666666666666666,novel_meaning_2afc_data_cond1_familiar_stem_subj_means,novel,2afc,cond1,familiar
novel_meaning_2afc_data_cond1_familiar_stem_subj_means,375898,0.5,novel_meaning_2afc_data_cond1_familiar_stem_subj_means,novel,2afc,cond1,familiar
novel_meaning_2afc_data_cond1_familiar_stem_subj_means,402050,0.6666666666666666,novel_meaning_2afc_data_cond1_familiar_stem_subj_means,novel,2afc,cond1,familiar
novel_meaning_2afc_data_cond1_familiar_stem_subj_means,420322,0.3333333333333333,novel_meaning_2afc_data_cond1_familiar_stem_subj_means,novel,2afc,cond1,familiar
novel_meaning_2afc_data_cond1_familiar_stem_subj_means,439037,0.3333333333333333,novel_meaning_2afc_data_cond1_familiar_stem_subj_means,novel,2afc,cond1,familiar
novel_meaning_2afc_data_cond1_familiar_stem_subj_means,455957,0.16666666666666666,novel_meaning_2afc_data_cond1_familiar_stem_subj_means,novel,2afc,cond1,familiar
novel_meaning_2afc_data_cond1_familiar_stem_subj_means,484560,0.16666666666666666,novel_meaning_2afc_data_cond1_familiar_stem_subj_means,novel,2afc,cond1,familiar
novel_meaning_2afc_data_cond1_familiar_stem_subj_means,499937,0.5,novel_meaning_2afc_data_cond1_familiar_stem_subj_means,novel,2afc,cond1,familiar
novel_meaning_2afc_data_cond1_familiar_stem_subj_means,504285,0.16666666666666666,novel_meaning_2afc_data_cond1_familiar_stem_subj_means,novel,2afc,cond1,familiar
novel_meaning_2afc_data_cond1_familiar_stem_subj_means,516480,0.5,novel_meaning_2afc_data_cond1_familiar_stem_subj_means,novel,2afc,cond1,familiar
novel_meaning_2afc_data_cond1_familiar_stem_subj_means,524572,0.5,novel_meaning_2afc_data_cond1_familiar_stem_subj_means,novel,2afc,cond1,familiar
novel_meaning_2afc_data_cond1_familiar_stem_subj_means,581431,0.5,novel_meaning_2afc_data_cond1_familiar_stem_subj_means,novel,2afc,cond1,familiar
novel_meaning_2afc_data_cond1_familiar_stem_subj_means,618798,0.5,novel_meaning_2afc_data_cond1_familiar_stem_subj_means,novel,2afc,cond1,familiar
novel_meaning_2afc_data_cond1_familiar_stem_subj_means,669582,0.6666666666666666,novel_meaning_2afc_data_cond1_familiar_stem_subj_means,novel,2afc,cond1,familiar
novel_meaning_2afc_data_cond1_familiar_stem_subj_means,681800,0.5,novel_meaning_2afc_data_cond1_familiar_stem_subj_means,novel,2afc,cond1,familiar
novel_meaning_2afc_data_cond1_familiar_stem_subj_means,695258,0.5,novel_meaning_2afc_data_cond1_familiar_stem_subj_means,novel,2afc,cond1,familiar
novel_meaning_2afc_data_cond1_familiar_stem_subj_means,697965,0.6666666666666666,novel_meaning_2afc_data_cond1_familiar_stem_subj_means,novel,2afc,cond1,familiar
novel_meaning_2afc_data_cond1_familiar_stem_subj_means,728095,0.5,novel_meaning_2afc_data_cond1_familiar_stem_subj_means,novel,2afc,cond1,familiar
novel_meaning_2afc_data_cond1_familiar_stem_subj_means,757339,0.5,novel_meaning_2afc_data_cond1_familiar_stem_subj_means,novel,2afc,cond1,familiar
novel_meaning_2afc_data_cond1_familiar_stem_subj_means,795819,0.5,novel_meaning_2afc_data_cond1_familiar_stem_subj_means,novel,2afc,cond1,familiar
novel_meaning_2afc_data_cond1_familiar_stem_subj_means,819354,0.5,novel_meaning_2afc_data_cond1_familiar_stem_subj_means,novel,2afc,cond1,familiar
novel_meaning_2afc_data_cond1_familiar_stem_subj_means,870704,0.3333333333333333,novel_meaning_2afc_data_cond1_familiar_stem_subj_means,novel,2afc,cond1,familiar
novel_meaning_2afc_data_cond1_familiar_stem_subj_means,872729,0.5,novel_meaning_2afc_data_cond1_familiar_stem_subj_means,novel,2afc,cond1,familiar
novel_meaning_2afc_data_cond1_familiar_stem_subj_means,877250,0.3333333333333333,novel_meaning_2afc_data_cond1_familiar_stem_subj_means,novel,2afc,cond1,familiar
novel_meaning_2afc_data_cond1_familiar_stem_subj_means,879226,0.3333333333333333,novel_meaning_2afc_data_cond1_familiar_stem_subj_means,novel,2afc,cond1,familiar
novel_meaning_2afc_data_cond1_familiar_stem_subj_means,916209,0.3333333333333333,novel_meaning_2afc_data_cond1_familiar_stem_subj_means,novel,2afc,cond1,familiar
novel_meaning_2afc_data_cond1_familiar_stem_subj_means,949821,0.6666666666666666,novel_meaning_2afc_data_cond1_familiar_stem_subj_means,novel,2afc,cond1,familiar
novel_meaning_2afc_data_cond1_novel_stem_subj_means,10491,0.5,novel_meaning_2afc_data_cond1_novel_stem,novel,2afc,cond1,novel
novel_meaning_2afc_data_cond1_novel_stem_subj_means,39146,0.16666666666666666,novel_meaning_2afc_data_cond1_novel_stem,novel,2afc,cond1,novel
novel_meaning_2afc_data_cond1_novel_stem_subj_means,49522,0.16666666666666666,novel_meaning_2afc_data_cond1_novel_stem,novel,2afc,cond1,novel
novel_meaning_2afc_data_cond1_novel_stem_subj_means,64196,0.3333333333333333,novel_meaning_2afc_data_cond1_novel_stem,novel,2afc,cond1,novel
novel_meaning_2afc_data_cond1_novel_stem_subj_means,66002,0.5,novel_meaning_2afc_data_cond1_novel_stem,novel,2afc,cond1,novel
novel_meaning_2afc_data_cond1_novel_stem_subj_means,112108,0.5,novel_meaning_2afc_data_cond1_novel_stem,novel,2afc,cond1,novel
novel_meaning_2afc_data_cond1_novel_stem_subj_means,145601,0.5,novel_meaning_2afc_data_cond1_novel_stem,novel,2afc,cond1,novel
novel_meaning_2afc_data_cond1_novel_stem_subj_means,183053,0.6666666666666666,novel_meaning_2afc_data_cond1_novel_stem,novel,2afc,cond1,novel
novel_meaning_2afc_data_cond1_novel_stem_subj_means,237233,0.6666666666666666,novel_meaning_2afc_data_cond1_novel_stem,novel,2afc,cond1,novel
novel_meaning_2afc_data_cond1_novel_stem_subj_means,275912,0.5,novel_meaning_2afc_data_cond1_novel_stem,novel,2afc,cond1,novel
novel_meaning_2afc_data_cond1_novel_stem_subj_means,308566,0.5,novel_meaning_2afc_data_cond1_novel_stem,novel,2afc,cond1,novel
novel_meaning_2afc_data_cond1_novel_stem_subj_means,337780,0.3333333333333333,novel_meaning_2afc_data_cond1_novel_stem,novel,2afc,cond1,novel
novel_meaning_2afc_data_cond1_novel_stem_subj_means,364622,0.3333333333333333,novel_meaning_2afc_data_cond1_novel_stem,novel,2afc,cond1,novel
novel_meaning_2afc_data_cond1_novel_stem_subj_means,375898,0.5,novel_meaning_2afc_data_cond1_novel_stem,novel,2afc,cond1,novel
novel_meaning_2afc_data_cond1_novel_stem_subj_means,402050,0.3333333333333333,novel_meaning_2afc_data_cond1_novel_stem,novel,2afc,cond1,novel
novel_meaning_2afc_data_cond1_novel_stem_subj_means,420322,0.6666666666666666,novel_meaning_2afc_data_cond1_novel_stem,novel,2afc,cond1,novel
novel_meaning_2afc_data_cond1_novel_stem_subj_means,439037,0.8333333333333334,novel_meaning_2afc_data_cond1_novel_stem,novel,2afc,cond1,novel
novel_meaning_2afc_data_cond1_novel_stem_subj_means,455957,0.16666666666666666,novel_meaning_2afc_data_cond1_novel_stem,novel,2afc,cond1,novel
novel_meaning_2afc_data_cond1_novel_stem_subj_means,484560,0.16666666666666666,novel_meaning_2afc_data_cond1_novel_stem,novel,2afc,cond1,novel
novel_meaning_2afc_data_cond1_novel_stem_subj_means,499937,0.3333333333333333,novel_meaning_2afc_data_cond1_novel_stem,novel,2afc,cond1,novel
novel_meaning_2afc_data_cond1_novel_stem_subj_means,504285,0.3333333333333333,novel_meaning_2afc_data_cond1_novel_stem,novel,2afc,cond1,novel
novel_meaning_2afc_data_cond1_novel_stem_subj_means,516480,0.6666666666666666,novel_meaning_2afc_data_cond1_novel_stem,novel,2afc,cond1,novel
novel_meaning_2afc_data_cond1_novel_stem_subj_means,524572,0.3333333333333333,novel_meaning_2afc_data_cond1_novel_stem,novel,2afc,cond1,novel
novel_meaning_2afc_data_cond1_novel_stem_subj_means,581431,0.5,novel_meaning_2afc_data_cond1_novel_stem,novel,2afc,cond1,novel
novel_meaning_2afc_data_cond1_novel_stem_subj_means,618798,0.3333333333333333,novel_meaning_2afc_data_cond1_novel_stem,novel,2afc,cond1,novel
novel_meaning_2afc_data_cond1_novel_stem_subj_means,669582,0.6666666666666666,novel_meaning_2afc_data_cond1_novel_stem,novel,2afc,cond1,novel
novel_meaning_2afc_data_cond1_novel_stem_subj_means,681800,0,novel_meaning_2afc_data_cond1_novel_stem,novel,2afc,cond1,novel
novel_meaning_2afc_data_cond1_novel_stem_subj_means,695258,0.5,novel_meaning_2afc_data_cond1_novel_stem,novel,2afc,cond1,novel
novel_meaning_2afc_data_cond1_novel_stem_subj_means,697965,0.6666666666666666,novel_meaning_2afc_data_cond1_novel_stem,novel,2afc,cond1,novel
novel_meaning_2afc_data_cond1_novel_stem_subj_means,728095,0.3333333333333333,novel_meaning_2afc_data_cond1_novel_stem,novel,2afc,cond1,novel
novel_meaning_2afc_data_cond1_novel_stem_subj_means,757339,0.6666666666666666,novel_meaning_2afc_data_cond1_novel_stem,novel,2afc,cond1,novel
novel_meaning_2afc_data_cond1_novel_stem_subj_means,795819,0.5,novel_meaning_2afc_data_cond1_novel_stem,novel,2afc,cond1,novel
novel_meaning_2afc_data_cond1_novel_stem_subj_means,819354,0.3333333333333333,novel_meaning_2afc_data_cond1_novel_stem,novel,2afc,cond1,novel
novel_meaning_2afc_data_cond1_novel_stem_subj_means,870704,0.3333333333333333,novel_meaning_2afc_data_cond1_novel_stem,novel,2afc,cond1,novel
novel_meaning_2afc_data_cond1_novel_stem_subj_means,872729,0.16666666666666666,novel_meaning_2afc_data_cond1_novel_stem,novel,2afc,cond1,novel
novel_meaning_2afc_data_cond1_novel_stem_subj_means,877250,0.3333333333333333,novel_meaning_2afc_data_cond1_novel_stem,novel,2afc,cond1,novel
novel_meaning_2afc_data_cond1_novel_stem_subj_means,879226,0.3333333333333333,novel_meaning_2afc_data_cond1_novel_stem,novel,2afc,cond1,novel
novel_meaning_2afc_data_cond1_novel_stem_subj_means,916209,0.3333333333333333,novel_meaning_2afc_data_cond1_novel_stem,novel,2afc,cond1,novel
novel_meaning_2afc_data_cond1_novel_stem_subj_means,949821,0.3333333333333333,novel_meaning_2afc_data_cond1_novel_stem,novel,2afc,cond1,novel
novel_meaning_2afc_data_cond2_familiar_stem_subj_means,49871,0.5,novel_meaning_2afc_data_cond2_familiar_stem,novel,2afc,cond2,familiar
novel_meaning_2afc_data_cond2_familiar_stem_subj_means,56352,0.6666666666666666,novel_meaning_2afc_data_cond2_familiar_stem,novel,2afc,cond2,familiar
novel_meaning_2afc_data_cond2_familiar_stem_subj_means,84071,0.3333333333333333,novel_meaning_2afc_data_cond2_familiar_stem,novel,2afc,cond2,familiar
novel_meaning_2afc_data_cond2_familiar_stem_subj_means,118797,0.5,novel_meaning_2afc_data_cond2_familiar_stem,novel,2afc,cond2,familiar
novel_meaning_2afc_data_cond2_familiar_stem_subj_means,142467,0.3333333333333333,novel_meaning_2afc_data_cond2_familiar_stem,novel,2afc,cond2,familiar
novel_meaning_2afc_data_cond2_familiar_stem_subj_means,150106,0.6666666666666666,novel_meaning_2afc_data_cond2_familiar_stem,novel,2afc,cond2,familiar
novel_meaning_2afc_data_cond2_familiar_stem_subj_means,167821,0.5,novel_meaning_2afc_data_cond2_familiar_stem,novel,2afc,cond2,familiar
novel_meaning_2afc_data_cond2_familiar_stem_subj_means,189588,0.16666666666666666,novel_meaning_2afc_data_cond2_familiar_stem,novel,2afc,cond2,familiar
novel_meaning_2afc_data_cond2_familiar_stem_subj_means,208147,0.6666666666666666,novel_meaning_2afc_data_cond2_familiar_stem,novel,2afc,cond2,familiar
novel_meaning_2afc_data_cond2_familiar_stem_subj_means,279453,0.3333333333333333,novel_meaning_2afc_data_cond2_familiar_stem,novel,2afc,cond2,familiar
novel_meaning_2afc_data_cond2_familiar_stem_subj_means,311083,0.5,novel_meaning_2afc_data_cond2_familiar_stem,novel,2afc,cond2,familiar
novel_meaning_2afc_data_cond2_familiar_stem_subj_means,316219,0.3333333333333333,novel_meaning_2afc_data_cond2_familiar_stem,novel,2afc,cond2,familiar
novel_meaning_2afc_data_cond2_familiar_stem_subj_means,323058,0.5,novel_meaning_2afc_data_cond2_familiar_stem,novel,2afc,cond2,familiar
novel_meaning_2afc_data_cond2_familiar_stem_subj_means,330170,0.5,novel_meaning_2afc_data_cond2_familiar_stem,novel,2afc,cond2,familiar
novel_meaning_2afc_data_cond2_familiar_stem_subj_means,333042,0.6666666666666666,novel_meaning_2afc_data_cond2_familiar_stem,novel,2afc,cond2,familiar
novel_meaning_2afc_data_cond2_familiar_stem_subj_means,333275,0.5,novel_meaning_2afc_data_cond2_familiar_stem,novel,2afc,cond2,familiar
novel_meaning_2afc_data_cond2_familiar_stem_subj_means,358678,0.6666666666666666,novel_meaning_2afc_data_cond2_familiar_stem,novel,2afc,cond2,familiar
novel_meaning_2afc_data_cond2_familiar_stem_subj_means,375011,0,novel_meaning_2afc_data_cond2_familiar_stem,novel,2afc,cond2,familiar
novel_meaning_2afc_data_cond2_familiar_stem_subj_means,380268,0.6666666666666666,novel_meaning_2afc_data_cond2_familiar_stem,novel,2afc,cond2,familiar
novel_meaning_2afc_data_cond2_familiar_stem_subj_means,394370,0.6666666666666666,novel_meaning_2afc_data_cond2_familiar_stem,novel,2afc,cond2,familiar
novel_meaning_2afc_data_cond2_familiar_stem_subj_means,407407,0.3333333333333333,novel_meaning_2afc_data_cond2_familiar_stem,novel,2afc,cond2,familiar
novel_meaning_2afc_data_cond2_familiar_stem_subj_means,411030,0.8333333333333334,novel_meaning_2afc_data_cond2_familiar_stem,novel,2afc,cond2,familiar
novel_meaning_2afc_data_cond2_familiar_stem_subj_means,416951,0.5,novel_meaning_2afc_data_cond2_familiar_stem,novel,2afc,cond2,familiar
novel_meaning_2afc_data_cond2_familiar_stem_subj_means,454237,0.5,novel_meaning_2afc_data_cond2_familiar_stem,novel,2afc,cond2,familiar
novel_meaning_2afc_data_cond2_familiar_stem_subj_means,463321,0.6666666666666666,novel_meaning_2afc_data_cond2_familiar_stem,novel,2afc,cond2,familiar
novel_meaning_2afc_data_cond2_familiar_stem_subj_means,491215,0.16666666666666666,novel_meaning_2afc_data_cond2_familiar_stem,novel,2afc,cond2,familiar
novel_meaning_2afc_data_cond2_familiar_stem_subj_means,519471,0.3333333333333333,novel_meaning_2afc_data_cond2_familiar_stem,novel,2afc,cond2,familiar
novel_meaning_2afc_data_cond2_familiar_stem_subj_means,526616,0.8333333333333334,novel_meaning_2afc_data_cond2_familiar_stem,novel,2afc,cond2,familiar
novel_meaning_2afc_data_cond2_familiar_stem_subj_means,532474,0.3333333333333333,novel_meaning_2afc_data_cond2_familiar_stem,novel,2afc,cond2,familiar
novel_meaning_2afc_data_cond2_familiar_stem_subj_means,579231,0.6666666666666666,novel_meaning_2afc_data_cond2_familiar_stem,novel,2afc,cond2,familiar
novel_meaning_2afc_data_cond2_familiar_stem_subj_means,632985,0.5,novel_meaning_2afc_data_cond2_familiar_stem,novel,2afc,cond2,familiar
novel_meaning_2afc_data_cond2_familiar_stem_subj_means,649801,0.6666666666666666,novel_meaning_2afc_data_cond2_familiar_stem,novel,2afc,cond2,familiar
novel_meaning_2afc_data_cond2_familiar_stem_subj_means,680109,0.5,novel_meaning_2afc_data_cond2_familiar_stem,novel,2afc,cond2,familiar
novel_meaning_2afc_data_cond2_familiar_stem_subj_means,763736,0.8333333333333334,novel_meaning_2afc_data_cond2_familiar_stem,novel,2afc,cond2,familiar
novel_meaning_2afc_data_cond2_familiar_stem_subj_means,769293,0.6666666666666666,novel_meaning_2afc_data_cond2_familiar_stem,novel,2afc,cond2,familiar
novel_meaning_2afc_data_cond2_familiar_stem_subj_means,783859,0.5,novel_meaning_2afc_data_cond2_familiar_stem,novel,2afc,cond2,familiar
novel_meaning_2afc_data_cond2_familiar_stem_subj_means,805292,0.6666666666666666,novel_meaning_2afc_data_cond2_familiar_stem,novel,2afc,cond2,familiar
novel_meaning_2afc_data_cond2_familiar_stem_subj_means,817058,0.16666666666666666,novel_meaning_2afc_data_cond2_familiar_stem,novel,2afc,cond2,familiar
novel_meaning_2afc_data_cond2_familiar_stem_subj_means,818269,0.3333333333333333,novel_meaning_2afc_data_cond2_familiar_stem,novel,2afc,cond2,familiar
novel_meaning_2afc_data_cond2_familiar_stem_subj_means,835615,0.3333333333333333,novel_meaning_2afc_data_cond2_familiar_stem,novel,2afc,cond2,familiar
novel_meaning_2afc_data_cond2_familiar_stem_subj_means,835778,0.5,novel_meaning_2afc_data_cond2_familiar_stem,novel,2afc,cond2,familiar
novel_meaning_2afc_data_cond2_familiar_stem_subj_means,844618,0.5,novel_meaning_2afc_data_cond2_familiar_stem,novel,2afc,cond2,familiar
novel_meaning_2afc_data_cond2_familiar_stem_subj_means,849639,0.3333333333333333,novel_meaning_2afc_data_cond2_familiar_stem,novel,2afc,cond2,familiar
novel_meaning_2afc_data_cond2_familiar_stem_subj_means,877238,0.5,novel_meaning_2afc_data_cond2_familiar_stem,novel,2afc,cond2,familiar
novel_meaning_2afc_data_cond2_familiar_stem_subj_means,881807,0.5,novel_meaning_2afc_data_cond2_familiar_stem,novel,2afc,cond2,familiar
novel_meaning_2afc_data_cond2_familiar_stem_subj_means,886144,0.3333333333333333,novel_meaning_2afc_data_cond2_familiar_stem,novel,2afc,cond2,familiar
novel_meaning_2afc_data_cond2_familiar_stem_subj_means,886890,0.5,novel_meaning_2afc_data_cond2_familiar_stem,novel,2afc,cond2,familiar
novel_meaning_2afc_data_cond2_familiar_stem_subj_means,893780,0.6666666666666666,novel_meaning_2afc_data_cond2_familiar_stem,novel,2afc,cond2,familiar
novel_meaning_2afc_data_cond2_familiar_stem_subj_means,937555,0.16666666666666666,novel_meaning_2afc_data_cond2_familiar_stem,novel,2afc,cond2,familiar
novel_meaning_2afc_data_cond2_familiar_stem_subj_means,983513,0.5,novel_meaning_2afc_data_cond2_familiar_stem,novel,2afc,cond2,familiar
novel_meaning_2afc_data_cond2_novel_stem_subj_means,49871,0.6666666666666666,novel_meaning_2afc_data_cond2_novel_stem,novel,2afc,cond2,novel
novel_meaning_2afc_data_cond2_novel_stem_subj_means,56352,0.6666666666666666,novel_meaning_2afc_data_cond2_novel_stem,novel,2afc,cond2,novel
novel_meaning_2afc_data_cond2_novel_stem_subj_means,84071,0.5,novel_meaning_2afc_data_cond2_novel_stem,novel,2afc,cond2,novel
novel_meaning_2afc_data_cond2_novel_stem_subj_means,118797,0.5,novel_meaning_2afc_data_cond2_novel_stem,novel,2afc,cond2,novel
novel_meaning_2afc_data_cond2_novel_stem_subj_means,142467,0.5,novel_meaning_2afc_data_cond2_novel_stem,novel,2afc,cond2,novel
novel_meaning_2afc_data_cond2_novel_stem_subj_means,150106,1,novel_meaning_2afc_data_cond2_novel_stem,novel,2afc,cond2,novel
novel_meaning_2afc_data_cond2_novel_stem_subj_means,167821,0.5,novel_meaning_2afc_data_cond2_novel_stem,novel,2afc,cond2,novel
novel_meaning_2afc_data_cond2_novel_stem_subj_means,189588,0.5,novel_meaning_2afc_data_cond2_novel_stem,novel,2afc,cond2,novel
novel_meaning_2afc_data_cond2_novel_stem_subj_means,208147,0.5,novel_meaning_2afc_data_cond2_novel_stem,novel,2afc,cond2,novel
novel_meaning_2afc_data_cond2_novel_stem_subj_means,279453,0.6666666666666666,novel_meaning_2afc_data_cond2_novel_stem,novel,2afc,cond2,novel
novel_meaning_2afc_data_cond2_novel_stem_subj_means,311083,0.8333333333333334,novel_meaning_2afc_data_cond2_novel_stem,novel,2afc,cond2,novel
novel_meaning_2afc_data_cond2_novel_stem_subj_means,316219,0.16666666666666666,novel_meaning_2afc_data_cond2_novel_stem,novel,2afc,cond2,novel
novel_meaning_2afc_data_cond2_novel_stem_subj_means,323058,0.6666666666666666,novel_meaning_2afc_data_cond2_novel_stem,novel,2afc,cond2,novel
novel_meaning_2afc_data_cond2_novel_stem_subj_means,330170,0.3333333333333333,novel_meaning_2afc_data_cond2_novel_stem,novel,2afc,cond2,novel
novel_meaning_2afc_data_cond2_novel_stem_subj_means,333042,0.16666666666666666,novel_meaning_2afc_data_cond2_novel_stem,novel,2afc,cond2,novel
novel_meaning_2afc_data_cond2_novel_stem_subj_means,333275,0.5,novel_meaning_2afc_data_cond2_novel_stem,novel,2afc,cond2,novel
novel_meaning_2afc_data_cond2_novel_stem_subj_means,358678,0.16666666666666666,novel_meaning_2afc_data_cond2_novel_stem,novel,2afc,cond2,novel
novel_meaning_2afc_data_cond2_novel_stem_subj_means,375011,0.3333333333333333,novel_meaning_2afc_data_cond2_novel_stem,novel,2afc,cond2,novel
novel_meaning_2afc_data_cond2_novel_stem_subj_means,380268,0.6666666666666666,novel_meaning_2afc_data_cond2_novel_stem,novel,2afc,cond2,novel
novel_meaning_2afc_data_cond2_novel_stem_subj_means,394370,0.6666666666666666,novel_meaning_2afc_data_cond2_novel_stem,novel,2afc,cond2,novel
novel_meaning_2afc_data_cond2_novel_stem_subj_means,407407,0.8333333333333334,novel_meaning_2afc_data_cond2_novel_stem,novel,2afc,cond2,novel
novel_meaning_2afc_data_cond2_novel_stem_subj_means,411030,0.3333333333333333,novel_meaning_2afc_data_cond2_novel_stem,novel,2afc,cond2,novel
novel_meaning_2afc_data_cond2_novel_stem_subj_means,416951,0.5,novel_meaning_2afc_data_cond2_novel_stem,novel,2afc,cond2,novel
novel_meaning_2afc_data_cond2_novel_stem_subj_means,454237,0.3333333333333333,novel_meaning_2afc_data_cond2_novel_stem,novel,2afc,cond2,novel
novel_meaning_2afc_data_cond2_novel_stem_subj_means,463321,0.5,novel_meaning_2afc_data_cond2_novel_stem,novel,2afc,cond2,novel
novel_meaning_2afc_data_cond2_novel_stem_subj_means,491215,0.6666666666666666,novel_meaning_2afc_data_cond2_novel_stem,novel,2afc,cond2,novel
novel_meaning_2afc_data_cond2_novel_stem_subj_means,519471,0.6666666666666666,novel_meaning_2afc_data_cond2_novel_stem,novel,2afc,cond2,novel
novel_meaning_2afc_data_cond2_novel_stem_subj_means,526616,0.6666666666666666,novel_meaning_2afc_data_cond2_novel_stem,novel,2afc,cond2,novel
novel_meaning_2afc_data_cond2_novel_stem_subj_means,532474,0.3333333333333333,novel_meaning_2afc_data_cond2_novel_stem,novel,2afc,cond2,novel
novel_meaning_2afc_data_cond2_novel_stem_subj_means,579231,0.3333333333333333,novel_meaning_2afc_data_cond2_novel_stem,novel,2afc,cond2,novel
novel_meaning_2afc_data_cond2_novel_stem_subj_means,632985,0.6666666666666666,novel_meaning_2afc_data_cond2_novel_stem,novel,2afc,cond2,novel
novel_meaning_2afc_data_cond2_novel_stem_subj_means,649801,0.3333333333333333,novel_meaning_2afc_data_cond2_novel_stem,novel,2afc,cond2,novel
novel_meaning_2afc_data_cond2_novel_stem_subj_means,680109,0.6666666666666666,novel_meaning_2afc_data_cond2_novel_stem,novel,2afc,cond2,novel
novel_meaning_2afc_data_cond2_novel_stem_subj_means,763736,0.3333333333333333,novel_meaning_2afc_data_cond2_novel_stem,novel,2afc,cond2,novel
novel_meaning_2afc_data_cond2_novel_stem_subj_means,769293,0.8333333333333334,novel_meaning_2afc_data_cond2_novel_stem,novel,2afc,cond2,novel
novel_meaning_2afc_data_cond2_novel_stem_subj_means,783859,0.5,novel_meaning_2afc_data_cond2_novel_stem,novel,2afc,cond2,novel
novel_meaning_2afc_data_cond2_novel_stem_subj_means,805292,0.5,novel_meaning_2afc_data_cond2_novel_stem,novel,2afc,cond2,novel
novel_meaning_2afc_data_cond2_novel_stem_subj_means,817058,0.8333333333333334,novel_meaning_2afc_data_cond2_novel_stem,novel,2afc,cond2,novel
novel_meaning_2afc_data_cond2_novel_stem_subj_means,818269,0.3333333333333333,novel_meaning_2afc_data_cond2_novel_stem,novel,2afc,cond2,novel
novel_meaning_2afc_data_cond2_novel_stem_subj_means,835615,0.6666666666666666,novel_meaning_2afc_data_cond2_novel_stem,novel,2afc,cond2,novel
novel_meaning_2afc_data_cond2_novel_stem_subj_means,835778,0.3333333333333333,novel_meaning_2afc_data_cond2_novel_stem,novel,2afc,cond2,novel
novel_meaning_2afc_data_cond2_novel_stem_subj_means,844618,0.6666666666666666,novel_meaning_2afc_data_cond2_novel_stem,novel,2afc,cond2,novel
novel_meaning_2afc_data_cond2_novel_stem_subj_means,849639,0.5,novel_meaning_2afc_data_cond2_novel_stem,novel,2afc,cond2,novel
novel_meaning_2afc_data_cond2_novel_stem_subj_means,877238,0.16666666666666666,novel_meaning_2afc_data_cond2_novel_stem,novel,2afc,cond2,novel
novel_meaning_2afc_data_cond2_novel_stem_subj_means,881807,0.5,novel_meaning_2afc_data_cond2_novel_stem,novel,2afc,cond2,novel
novel_meaning_2afc_data_cond2_novel_stem_subj_means,886144,0.3333333333333333,novel_meaning_2afc_data_cond2_novel_stem,novel,2afc,cond2,novel
novel_meaning_2afc_data_cond2_novel_stem_subj_means,886890,0.5,novel_meaning_2afc_data_cond2_novel_stem,novel,2afc,cond2,novel
novel_meaning_2afc_data_cond2_novel_stem_subj_means,893780,0.3333333333333333,novel_meaning_2afc_data_cond2_novel_stem,novel,2afc,cond2,novel
novel_meaning_2afc_data_cond2_novel_stem_subj_means,937555,1,novel_meaning_2afc_data_cond2_novel_stem,novel,2afc,cond2,novel
novel_meaning_2afc_data_cond2_novel_stem_subj_means,983513,0.8333333333333334,novel_meaning_2afc_data_cond2_novel_stem,novel,2afc,cond2,novel
novel_meaning_2afc_data_cond3_familiar_stem_subj_means,23855,0.5,novel_meaning_2afc_data_cond3_familiar_stem,novel,2afc,cond3,familiar
